id,Sepal.Length,Petal.Length,Species
1,5.1,1.4,setosa
2,4.9,1.4,setosa
3,4.7,1.3,setosa
4,4.6,1.5,setosa
5,5,1.4,setosa
6,5.4,1.7,setosa
7,4.6,1.4,setosa
8,5,1.5,setosa
9,4.4,1.4,setosa
10,4.9,1.5,setosa
11,5.4,1.5,setosa
12,4.8,1.6,setosa
13,4.8,1.4,setosa
14,4.3,1.1,setosa
15,5.8,1.2,setosa
16,5.7,1.5,setosa
17,5.4,1.3,setosa
18,5.1,1.4,setosa
19,5.7,1.7,setosa
20,5.1,1.5,setosa
21,5.4,1.7,setosa
22,5.1,1.5,setosa
23,4.6,1,setosa
24,5.1,1.7,setosa
25,4.8,1.9,setosa
26,5,1.6,setosa
27,5,1.6,setosa
28,5.2,1.5,setosa
29,5.2,1.4,setosa
30,4.7,1.6,setosa
31,4.8,1.6,setosa
32,5.4,1.5,setosa
33,5.2,1.5,setosa
34,5.5,1.4,setosa
35,4.9,1.5,setosa
36,5,1.2,setosa
37,5.5,1.3,setosa
38,4.9,1.4,setosa
39,4.4,1.3,setosa
40,5.1,1.5,setosa
41,5,1.3,setosa
42,4.5,1.3,setosa
43,4.4,1.3,setosa
44,5,1.6,setosa
45,5.1,1.9,setosa
46,4.8,1.4,setosa
47,5.1,1.6,setosa
48,4.6,1.4,setosa
49,5.3,1.5,setosa
50,5,1.4,setosa
51,7,4.7,versicolor
52,6.4,4.5,versicolor
53,6.9,4.9,versicolor
54,5.5,4,versicolor
55,6.5,4.6,versicolor
56,5.7,4.5,versicolor
57,6.3,4.7,versicolor
58,4.9,3.3,versicolor
59,6.6,4.6,versicolor
60,5.2,3.9,versicolor
61,5,3.5,versicolor
62,5.9,4.2,versicolor
63,6,4,versicolor
64,6.1,4.7,versicolor
65,5.6,3.6,versicolor
66,6.7,4.4,versicolor
67,5.6,4.5,versicolor
68,5.8,4.1,versicolor
69,6.2,4.5,versicolor
70,5.6,3.9,versicolor
71,5.9,4.8,versicolor
72,6.1,4,versicolor
73,6.3,4.9,versicolor
74,6.1,4.7,versicolor
75,6.4,4.3,versicolor
76,6.6,4.4,versicolor
77,6.8,4.8,versicolor
78,6.7,5,versicolor
79,6,4.5,versicolor
80,5.7,3.5,versicolor
81,5.5,3.8,versicolor
82,5.5,3.7,versicolor
83,5.8,3.9,versicolor
84,6,5.1,versicolor
85,5.4,4.5,versicolor
86,6,4.5,versicolor
87,6.7,4.7,versicolor
88,6.3,4.4,versicolor
89,5.6,4.1,versicolor
90,5.5,4,versicolor
91,5.5,4.4,versicolor
92,6.1,4.6,versicolor
93,5.8,4,versicolor
94,5,3.3,versicolor
95,5.6,4.2,versicolor
96,5.7,4.2,versicolor
97,5.7,4.2,versicolor
98,6.2,4.3,versicolor
99,5.1,3,versicolor
100,5.7,4.1,versicolor
101,6.3,6,virginica
102,5.8,5.1,virginica
103,7.1,5.9,virginica
104,6.3,5.6,virginica
105,6.5,5.8,virginica
106,7.6,6.6,virginica
107,4.9,4.5,virginica
108,7.3,6.3,virginica
109,6.7,5.8,virginica
110,7.2,6.1,virginica
111,6.5,5.1,virginica
112,6.4,5.3,virginica
113,6.8,5.5,virginica
114,5.7,5,virginica
115,5.8,5.1,virginica
116,6.4,5.3,virginica
117,6.5,5.5,virginica
118,7.7,6.7,virginica
119,7.7,6.9,virginica
120,6,5,virginica
121,6.9,5.7,virginica
122,5.6,4.9,virginica
123,7.7,6.7,virginica
124,6.3,4.9,virginica
125,6.7,5.7,virginica
126,7.2,6,virginica
127,6.2,4.8,virginica
128,6.1,4.9,virginica
129,6.4,5.6,virginica
130,7.2,5.8,virginica
131,7.4,6.1,virginica
132,7.9,6.4,virginica
133,6.4,5.6,virginica
134,6.3,5.1,virginica
135,6.1,5.6,virginica
136,7.7,6.1,virginica
137,6.3,5.6,virginica
138,6.4,5.5,virginica
139,6,4.8,virginica
140,6.9,5.4,virginica
141,6.7,5.6,virginica
142,6.9,5.1,virginica
143,5.8,5.1,virginica
144,6.8,5.9,virginica
145,6.7,5.7,virginica
146,6.7,5.2,virginica
147,6.3,5,virginica
148,6.5,5.2,virginica
149,6.2,5.4,virginica
150,5.9,5.1,virginica
